	Range Number		Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 2500 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	28.221707	-34.798767	-3.288530	44.562205	400.375524	1.000000	-3.288530	-34.798767	28.221707	
2	31.395579	-33.885376	-1.244899	46.160606	414.736593	1.000000	-1.244899	-33.885376	31.395579	
3	32.136567	-32.597650	-0.230541	45.774004	411.263108	1.000000	-0.230541	-32.597650	32.136567	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 3150 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	31.272974	-39.917462	-4.322244	50.339240	452.280129	1.000000	-4.322244	-39.917462	31.272974	
2	33.316481	-40.531121	-3.607320	52.218140	469.161372	1.000000	-3.607320	-40.531121	33.316481	
3	31.895457	-39.349514	-3.727029	50.377802	452.626597	1.000000	-3.727029	-39.349514	31.895457	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 4000 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	34.234071	-40.550496	-3.158213	52.880675	475.114013	1.000000	-3.158213	-40.550496	34.234071	
2	34.701037	-41.032231	-3.165597	53.551508	481.141208	1.000000	-3.165597	-41.032231	34.701037	
3	33.656477	-40.348438	-3.345981	52.329377	470.160799	1.000000	-3.345981	-40.348438	33.656477	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 5000 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	34.858949	-38.671958	-1.906505	51.994202	467.149375	1.000000	-1.906505	-38.671958	34.858949	
2	37.260086	-35.192745	1.033671	51.231889	460.300257	1.000000	1.033671	-35.192745	37.260086	
3	33.064910	-39.273830	-3.104460	51.151214	459.575420	1.000000	-3.104460	-39.273830	33.064910	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 6300 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	29.517880	-37.816135	-4.149128	47.612339	427.779891	1.000000	-4.149128	-37.816135	29.517880	
2	31.652129	-37.167347	-2.757609	48.662718	437.217175	1.000000	-2.757609	-37.167347	31.652129	
3	33.188560	-37.960854	-2.386147	50.310234	452.019515	1.000000	-2.386147	-37.960854	33.188560	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 7950 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	30.727261	-36.600715	-2.936727	47.608068	427.741519	1.000000	-2.936727	-36.600715	30.727261	
2	34.040432	-34.390656	-0.175112	48.388086	434.749706	1.000000	-0.175112	-34.390656	34.040432	
3	33.678941	-36.774187	-1.547623	49.817885	447.595936	1.000000	-1.547623	-36.774187	33.678941	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 10000 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	31.798984	-34.454080	-1.327548	46.847991	420.912498	1.000000	-1.327548	-34.454080	31.798984	
2	32.738729	-34.736853	-0.999062	47.712442	428.679283	1.000000	-0.999062	-34.736853	32.738729	
3	34.159333	-34.639529	-0.240098	48.648142	437.086213	1.000000	-0.240098	-34.639529	34.159333	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 12500 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	32.564875	-33.706173	-0.570649	46.860708	421.026755	1.000000	-0.570649	-33.706173	32.564875	
2	34.135853	-33.588372	0.273741	47.888259	430.258936	1.000000	0.273741	-33.588372	34.135853	
3	32.432866	-30.792740	0.820063	44.707255	401.678745	1.000000	0.820063	-30.792740	32.432866	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 16000 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	29.250627	-31.329089	-1.039231	42.836328	384.869136	1.000000	-1.039231	-31.329089	29.250627	
2	30.742377	-31.724136	-0.490880	44.170495	396.856153	1.000000	-0.490880	-31.724136	30.742377	
3	31.533517	-31.246477	0.143520	44.392159	398.847727	1.000000	0.143520	-31.246477	31.533517	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
